date;custid;sex;is.employed;annual_incomeUSD;marital.stat;health.ins;housing.type;vehicle;num.vehicles;age;state.of.res
10/24/2016 5:09:23;2068;1;;11300;Married;TRUE;Homeowner free and clear;YES;2;49;Michigan
10/24/2016 5:09:55;2073;1;;0;Married;TRUE;Rented;YES;3;40;Florida
10/24/2016 5:13:07;2848;2;TRUE;4500;Never Married;FALSE;Rented;YES;3;22;Georgia
10/24/2016 5:14:17;5641;2;TRUE;20000;Never Married;FALSE;Occupied with no rent;NO;4;22;New Mexico
10/24/2016 5:14:25;6369;1;TRUE;12000;Never Married;TRUE;Rented;YES;1;31;Florida
10/24/2016 5:16:43;8322;1;TRUE;180000;Never Married;TRUE;Homeowner with mortgage/loan;YES;1;40;NewYork
10/24/2016 5:16:51;8521;2;TRUE;120000;Never Married;TRUE;Homeowner free and clear;YES;1;39;Idaho
10/24/2016 5:16:55;12195;2;TRUE;40000;Married;TRUE;Rented;YES;3;48;Michigan
10/24/2016 5:17:49;14989;2;;9400;Married;TRUE;Rented;YES;2;44;Illinois
10/24/2016 5:18:51;15917;1;TRUE;24000;Divorced/Separated;TRUE;Homeowner free and clear;YES;1;70;North Caroli
10/24/2016 5:20:21;16551;1;;7000;Married;TRUE;Homeowner with mortgage/loan;YES;2;46;Georgia
10/24/2016 5:21:20;17134;2;TRUE;220000;Married;TRUE;Homeowner free and clear;YES;2;33;India
10/24/2016 5:21:28;17946;1;TRUE;85000;Divorced/Separated;TRUE;Rented;YES;1;50+;New Hampshire
10/24/2016 5:22:13;18487;1;TRUE;89200;Divorced/Separated;TRUE;Homeowner with mortgage/loan;YES;1;63;Georgia
10/24/2016 5:22:31;20383;2;TRUE;170000;Never Married;TRUE;Homeowner with mortgage/loan;YES;1;35;South Caroli
10/24/2016 5:24:08;22295;2;TRUE;14400;Married;TRUE;Homeowner free and clear;YES;3;54;Pennsylvania
10/24/2016 5:24:11;25863;2;;41000;Divorced/Separated;TRUE;Homeowner with mortgage/loan;YES;1;70;Virginia
10/24/2016 5:26:18;26057;2;TRUE;30000;Married;TRUE;;NO;;28;Florida
10/24/2016 5:26:35;26355;2;TRUE;80000;Never Married;TRUE;Homeowner with mortgage/loan;YES;1;36;New Jersey
10/24/2016 5:27:00;27214;2;;18800;Married;TRUE;Homeowner free and clear;YES;2;68;Ohio
10/24/2016 5:30:40;27445;1;TRUE;35000;Never Married;TRUE;Rented;YES;2;53;Florida
10/24/2016 5:31:49;27761;2;TRUE;24000;Never Married;FALSE;Rented;YES;2;33;Illinois
10/24/2016 5:33:19;27928;2;TRUE;75000;Divorced/Separated;TRUE;Homeowner with mortgage/loan;YES;2;58;New York
10/24/2016 5:33:28;30768;2;TRUE;80000;Married;TRUE;Homeowner with mortgage/loan;YES;2;50;New Jersey
10/24/2016 5:34:36;31710;1;TRUE;397000;Widowed;TRUE;Homeowner with mortgage/loan;YES;2;55;Missouri
10/24/2016 5:34:37;33651;1;TRUE;45000;Never Married;TRUE;Homeowner with mortgage/loan;YES;2;44;California
10/24/2016 5:34:40;33828;1;TRUE;24900;Married;TRUE;Homeowner with mortgage/loan;YES;2;49;Wisconsin
10/24/2016 5:35:46;36825;2;TRUE;17500;Married;FALSE;Rented;YES;2;35;South Dakota
10/24/2016 5:36:13;37224;2;TRUE;25800;Married;TRUE;Homeowner with mortgage/loan;YES;2;48;Colorado
10/24/2016 5:36:44;38827;1;;9700;Married;TRUE;Homeowner with mortgage/loan;YES;2;72;Oklahoma
10/24/2016 5:36:57;40132;2;TRUE;22000;Married;TRUE;Homeowner with mortgage/loan;YES;3;66;Illinois
10/24/2016 5:37:19;40449;2;;13000;Married;TRUE;Homeowner free and clear;YES;3;84;Kentucky
10/24/2016 5:37:49;42374;2;;7800;Never Married;TRUE;Homeowner free and clear;YES;1;65;Kentucky
10/24/2016 5:38:41;46099;2;TRUE;36880;Never Married;TRUE;Homeowner with mortgage/loan;YES;2;65;Massachusetts
10/24/2016 5:39:58;46791;2;;22700;Married;TRUE;Homeowner free and clear;YES;2;67;Oklahoma
10/24/2016 5:41:24;47009;1;TRUE;34300;Married;TRUE;Rented;YES;1;33;New York
10/24/2016 5:41:34;48479;2;TRUE;90000;Divorced/Separated;TRUE;Homeowner with mortgage/loan;YES;2;58;Texas
10/24/2016 5:42:42;49496;2;;94400;Widowed;TRUE;Homeowner free and clear;YES;2;88;Wisconsin
10/24/2016 5:44:28;50220;2;;22300;Divorced/Separated;TRUE;Rented;YES;1;85;Texas
10/24/2016 5:45:29;51723;1;;15700;Widowed;TRUE;Homeowner free and clear;YES;1;78;Ohio
10/24/2016 5:45:54;52197;2;;65100;Married;TRUE;Homeowner free and clear;YES;2;66;Florida
10/24/2016 5:45:58;52382;2;TRUE;45050;Married;TRUE;Homeowner with mortgage/loan;YES;3;39;Ohio
10/24/2016 5:46:15;52420;2;TRUE;46000;Divorced/Separated;TRUE;Homeowner with mortgage/loan;YES;1;57;Florida
10/24/2016 5:46:36;52436;1;TRUE;139000;Married;TRUE;Homeowner with mortgage/loan;YES;2;46;Pennsylvania
10/24/2016 5:49:18;53186;1;;0;Married;TRUE;Homeowner with mortgage/loan;YES;2;61;Pennsylvania
10/24/2016 5:49:22;53214;2;TRUE;84010;Married;TRUE;Homeowner with mortgage/loan;YES;2;57;New York
10/24/2016 5:49:52;53759;1;;0;Married;TRUE;Homeowner with mortgage/loan;YES;2;34;Ohio
10/24/2016 5:50:03;54177;2;FALSE;51500;Married;TRUE;Homeowner free and clear;YES;2;86;New York
10/24/2016 5:50:17;55873;1;;25400;Never Married;TRUE;Rented;YES;1;60;New York
10/24/2016 5:51:41;55992;1;;0;Married;TRUE;Rented;YES;1;38;Colorado
10/24/2016 5:51:59;56040;1;;0;Married;TRUE;Rented;YES;2;39;California
10/24/2016 5:52:15;62999;2;TRUE;91000;Married;TRUE;Homeowner with mortgage/loan;YES;4;51;New York
10/24/2016 5:53:12;65004;1;TRUE;150000;Never Married;TRUE;Homeowner with mortgage/loan;YES;4;49;Florida
10/24/2016 5:53:20;66778;2;TRUE;19000;Married;TRUE;Homeowner with mortgage/loan;YES;2;40;Virginia
10/24/2016 5:54:15;67776;2;TRUE;52000;Married;TRUE;Homeowner with mortgage/loan;YES;1;38;Florida
10/24/2016 5:54:15;68013;2;;100;Divorced/Separated;FALSE;;NO;;28;California
10/24/2016 5:54:27;68221;2;TRUE;78000;Married;TRUE;Homeowner with mortgage/loan;YES;2;29;California
10/24/2016 5:54:40;69062;2;TRUE;120300;Married;TRUE;Homeowner free and clear;YES;4;59;California
10/24/2016 5:55:38;72741;1;;42500;Widowed;TRUE;Homeowner free and clear;NO;;88;Michigan
10/24/2016 5:55:55;74447;2;TRUE;162000;Married;TRUE;Homeowner with mortgage/loan;YES;4;33;Maryland
10/24/2016 5:56:11;76182;1;TRUE;18200;Divorced/Separated;FALSE;Homeowner with mortgage/loan;YES;1;41;Connecticut
10/24/2016 5:57:28;77312;2;TRUE;37200;Married;FALSE;Homeowner free and clear;YES;2;35;Mississippi
10/24/2016 5:58:03;78476;2;TRUE;76000;Married;TRUE;Homeowner with mortgage/loan;YES;4;60;Illinois
10/24/2016 5:58:10;79069;2;TRUE;30000;Married;FALSE;Rented;YES;1;40;Texas
10/24/2016 5:58:48;80274;2;;37300;Married;TRUE;Homeowner free and clear;YES;5;68;New Jersey
10/24/2016 5:59:37;80549;2;;85200;Married;TRUE;Homeowner free and clear;YES;2;75;Arkansas
10/24/2016 6:00:35;82503;2;TRUE;70000;Married;TRUE;Homeowner free and clear;YES;2;69;California
10/24/2016 6:01:41;84636;2;TRUE;33600;Married;FALSE;Rented;YES;2;32;South Caroli
10/24/2016 6:02:14;84879;;;;;;;;;;
10/24/2016 6:03:38;85398;1;TRUE;21600;Never Married;FALSE;Homeowner with mortgage/loan;YES;6;44;California
10/24/2016 6:05:28;86711;2;;47950;Never Married;TRUE;Homeowner free and clear;YES;1;76;California
10/24/2016 6:05:39;86786;1;TRUE;39600;Never Married;TRUE;Rented;YES;1;49;New Jersey
10/24/2016 6:06:10;90303;2;;0;Never Married;FALSE;;NO;;45;Kentucky
10/24/2016 6:07:43;90863;2;TRUE;285020;Married;TRUE;Homeowner with mortgage/loan;YES;3;37;Washington
10/24/2016 6:08:20;92706;2;;9100;Never Married;TRUE;Rented;NO;;82;Rhode Island
10/24/2016 6:08:43;94743;2;TRUE;299000;Married;TRUE;Homeowner free and clear;YES;2;64;Missouri
10/24/2016 6:09:23;96964;2;TRUE;266200;Married;TRUE;Homeowner with mortgage/loan;YES;2;69;Texas
10/24/2016 6:09:26;97247;1;;70500;Widowed;TRUE;Homeowner with mortgage/loan;YES;1;78;Idaho
10/24/2016 6:09:54;98086;2;;52100;Married;TRUE;Homeowner with mortgage/loan;YES;2;69;Florida
10/24/2016 6:09:58;99068;1;TRUE;38800;Never Married;TRUE;Rented;YES;3;34;New York
10/24/2016 6:10:03;100475;1;TRUE;28800;Divorced/Separated;TRUE;Rented;YES;1;48;Pennsylvania
10/24/2016 6:10:18;102269;2;;14400;Married;TRUE;Rented;YES;1;84;Washington
10/24/2016 6:10:33;103389;1;TRUE;130000;Never Married;TRUE;Rented;YES;1;41;Minnesota
10/24/2016 6:11:02;104048;1;TRUE;15500;Married;TRUE;Homeowner with mortgage/loan;YES;3;69;Ohio
10/24/2016 6:11:05;104506;2;;30800;Married;TRUE;Homeowner with mortgage/loan;YES;2;83;Alaska
10/24/2016 6:11:16;106395;2;TRUE;25700;Married;TRUE;Rented;YES;1;32;California
10/24/2016 6:13:42;106726;2;TRUE;39000;Married;TRUE;Rented;YES;1;53;South Dakota
10/24/2016 6:14:35;106956;1;TRUE;150600;Divorced/Separated;TRUE;Homeowner with mortgage/loan;YES;2;50;Oklahoma
10/24/2016 6:14:50;107458;2;TRUE;182500;Married;TRUE;Homeowner with mortgage/loan;YES;2;66;Florida
10/24/2016 6:15:22;108042;1;FALSE;6200;Never Married;TRUE;Rented;YES;1;22;Tennessee
10/24/2016 6:15:54;110024;1;;18960;Widowed;TRUE;Homeowner free and clear;YES;2;83;California
10/24/2016 6:17:16;110699;2;TRUE;60000;Never Married;TRUE;Homeowner free and clear;YES;1;53;Iowa
10/24/2016 6:17:57;111870;2;TRUE;26000;Married;FALSE;Homeowner with mortgage/loan;YES;1;54;Maryland
10/24/2016 6:18:00;112116;2;TRUE;221000;Married;TRUE;Homeowner with mortgage/loan;YES;3;65;Minnesota
10/24/2016 6:19:21;113390;2;TRUE;25000;Never Married;FALSE;Rented;YES;3;43;Virginia
10/24/2016 6:20:09;114806;1;TRUE;50000;Divorced/Separated;TRUE;Homeowner with mortgage/loan;YES;2;53;Ohio
10/24/2016 6:20:09;115100;2;;0;Never Married;FALSE;;NO;;29;California
10/24/2016 6:20:37;116171;1;;51500;Widowed;TRUE;Homeowner free and clear;YES;1;81;Kansas
10/24/2016 6:20:41;116481;1;;15900;Divorced/Separated;TRUE;Homeowner free and clear;YES;2;88;Oregon
10/24/2016 6:21:19;117491;2;TRUE;110000;Married;TRUE;Homeowner with mortgage/loan;YES;4;58;New Jersey
10/24/2016 6:22:52;117900;2;TRUE;60000;Married;TRUE;Homeowner with mortgage/loan;YES;2;40;Massachusetts
10/24/2016 6:23:41;117911;2;TRUE;29500;Widowed;TRUE;Rented;YES;2;67;Virginia
10/24/2016 6:25:10;118561;1;;9600;Widowed;TRUE;Rented;YES;1;60;Texas
10/24/2016 6:25:56;120705;2;TRUE;21400;Never Married;TRUE;Rented;NO;;30;Tennessee
10/24/2016 6:26:50;122231;2;TRUE;100000;Divorced/Separated;TRUE;Homeowner with mortgage/loan;YES;2;48;Arkansas
10/24/2016 6:26:49;124968;1;TRUE;100000;Never Married;TRUE;Homeowner free and clear;YES;1;56;Ohio
10/24/2016 6:27:52;125155;2;TRUE;18000;Married;FALSE;Rented;YES;1;55;Missouri
10/24/2016 6:28:01;126507;2;TRUE;112000;Married;TRUE;Homeowner with mortgage/loan;YES;4;51;Florida
10/24/2016 6:29:30;127965;2;TRUE;90000;Divorced/Separated;TRUE;Homeowner free and clear;YES;1;50;Ohio
10/24/2016 6:30:38;131301;2;TRUE;16800;Married;FALSE;Rented;YES;2;48;Connecticut
10/24/2016 6:30:43;133268;2;TRUE;140000;Married;TRUE;Homeowner with mortgage/loan;YES;2;49;Wisconsin
10/24/2016 6:31:06;136206;1;;3700;Married;TRUE;Homeowner with mortgage/loan;YES;2;56;Alabama
10/24/2016 6:31:20;138865;2;TRUE;10000;Divorced/Separated;FALSE;Rented;YES;1;28;New York
10/24/2016 6:31:41;139771;2;TRUE;9600;Married;TRUE;Rented;YES;2;42;California
10/24/2016 6:31:45;141492;1;;0;Married;TRUE;Homeowner with mortgage/loan;YES;3;34;Florida
10/24/2016 6:32:00;145172;2;;241000;Divorced/Separated;TRUE;Homeowner with mortgage/loan;YES;1;83;New Jersey
10/24/2016 6:33:22;146457;2;TRUE;49000;Never Married;TRUE;Rented;YES;2;35;New Jersey
10/24/2016 6:33:34;147984;1;;0;Married;TRUE;Rented;YES;1;49;Florida
10/24/2016 6:34:22;149429;2;TRUE;90000;Never Married;TRUE;Homeowner with mortgage/loan;YES;2;41;California
10/24/2016 6:35:03;149480;1;;0;Married;FALSE;Homeowner free and clear;YES;2;46;New York
10/24/2016 6:36:02;150055;1;TRUE;78000;Married;TRUE;Rented;YES;2;24;Virginia
10/24/2016 6:37:46;150721;2;TRUE;402000;Married;TRUE;Homeowner with mortgage/loan;YES;2;44;California
10/24/2016 6:38:02;151170;1;TRUE;9000;Divorced/Separated;TRUE;Rented;YES;2;57;India
10/24/2016 6:38:03;151678;2;;0;Never Married;FALSE;;NO;;34;Georgia
10/24/2016 6:38:06;151876;1;;18900;Divorced/Separated;TRUE;Rented;YES;1;86;Illinois
10/24/2016 6:38:39;153419;2;;61400;Married;TRUE;Homeowner with mortgage/loan;YES;3;73;Arizo
10/24/2016 6:39:10;155762;2;TRUE;60000;Divorced/Separated;FALSE;Homeowner free and clear;YES;2;49;Illinois
10/24/2016 6:39:32;156520;2;TRUE;75000;Married;TRUE;Homeowner with mortgage/loan;YES;2;40;Illinois
10/24/2016 6:39:32;158530;2;;1400;Married;TRUE;Homeowner with mortgage/loan;YES;1;83;Texas
10/24/2016 6:40:00;159107;2;;40000;Widowed;TRUE;Homeowner with mortgage/loan;YES;1;65;New Jersey
10/24/2016 6:40:13;159573;1;;14400;Widowed;TRUE;Homeowner free and clear;YES;1;69;Kentucky
10/24/2016 6:41:01;164576;1;;0;Never Married;FALSE;Rented;YES;1;28;Texas
10/24/2016 6:41:08;166246;1;TRUE;19200;Never Married;TRUE;Rented;YES;1;30;New York
10/24/2016 6:41:09;167154;2;;0;Never Married;FALSE;;NO;;31;New Jersey
10/24/2016 6:42:07;167498;2;FALSE;45000;Married;TRUE;Homeowner with mortgage/loan;YES;1;32;Florida
10/24/2016 6:42:43;169519;1;TRUE;30600;Divorced/Separated;TRUE;Rented;YES;1;62;Virginia
10/24/2016 6:42:43;173493;2;FALSE;77000;Married;TRUE;Homeowner with mortgage/loan;YES;2;56;Texas
10/24/2016 6:42:56;174248;2;;29300;Married;TRUE;Homeowner with mortgage/loan;YES;3;68;India
10/24/2016 6:43:33;175033;2;;269000;Married;TRUE;Homeowner with mortgage/loan;YES;2;47;New York
10/24/2016 6:44:02;175572;1;FALSE;0;Married;FALSE;Rented;YES;2;38;West Virginia
10/24/2016 6:44:29;177122;1;TRUE;2000;Married;TRUE;Homeowner with mortgage/loan;YES;1;39;Missouri
10/24/2016 6:44:31;177145;2;TRUE;60000;Married;TRUE;Homeowner with mortgage/loan;YES;2;46;California
10/24/2016 6:44:56;178178;1;TRUE;54000;Never Married;TRUE;Rented;YES;1;35;New York
10/24/2016 6:46:06;178887;1;;0;Married;FALSE;Rented;NO;;44;Illinois
10/24/2016 6:46:13;179481;1;TRUE;2000;Married;TRUE;Homeowner with mortgage/loan;YES;3;53;Texas
10/24/2016 6:48:14;180009;2;FALSE;35000;Divorced/Separated;TRUE;Rented;YES;1;31;California
10/24/2016 6:48:48;181385;1;;290;Married;FALSE;Homeowner free and clear;YES;2;28;Wisconsin
10/24/2016 6:49:04;181754;2;TRUE;34200;Married;TRUE;Rented;YES;4;49;Massachusetts
10/24/2016 6:50:20;182072;1;;0;Widowed;FALSE;Rented;YES;1;45;Georgia
10/24/2016 6:50:45;182146;1;FALSE;40000;Never Married;FALSE;Rented;YES;1;35;Colorado
10/24/2016 6:51:37;183889;2;TRUE;32000;Married;TRUE;Homeowner with mortgage/loan;YES;1;67;Ohio
10/24/2016 6:52:37;184170;2;;68800;Married;TRUE;Homeowner free and clear;YES;3;70;Oregon
10/24/2016 6:52:47;184506;2;TRUE;40000;Divorced/Separated;FALSE;Rented;YES;2;39;Michigan
10/24/2016 6:52:52;184686;1;TRUE;69000;Divorced/Separated;TRUE;Homeowner free and clear;YES;2;59;Virginia
10/24/2016 6:53:19;186475;2;TRUE;27000;Never Married;TRUE;Rented;YES;2;29;South Caroli
10/24/2016 6:53:36;186808;1;;33600;Divorced/Separated;TRUE;Homeowner with mortgage/loan;YES;4;61;Alaska
10/24/2016 6:54:54;191018;1;;13200;Married;TRUE;Homeowner free and clear;YES;4;64;India
10/24/2016 6:55:13;191536;1;;19000;Widowed;TRUE;Rented;NO;;82;Oklahoma
10/24/2016 6:56:26;194740;1;FALSE;50000;Married;TRUE;Homeowner with mortgage/loan;YES;4;53;Iowa
10/24/2016 6:57:32;195539;2;;65700;Married;TRUE;Rented;YES;2;69;Florida
10/24/2016 6:59:36;196613;1;TRUE;77800;Never Married;TRUE;Homeowner with mortgage/loan;YES;1;45;Washington
10/24/2016 6:59:41;196828;2;TRUE;24800;Married;TRUE;Homeowner with mortgage/loan;YES;3;65;Florida
10/24/2016 7:00:34;199788;2;FALSE;43500;Never Married;FALSE;Homeowner free and clear;YES;2;37;Louisia
10/24/2016 7:02:41;203816;1;;0;Married;TRUE;Homeowner with mortgage/loan;YES;2;57;Michigan
10/24/2016 7:02:47;204591;1;TRUE;47500;Divorced/Separated;TRUE;Rented;YES;3;49;Texas
10/24/2016 7:03:02;206122;2;TRUE;127000;Married;TRUE;Rented;YES;2;47;Michigan
10/24/2016 7:03:07;209604;2;TRUE;87000;Married;TRUE;Homeowner free and clear;YES;4;54;Pennsylvania
10/24/2016 7:03:49;210241;1;TRUE;10000;Never Married;FALSE;Rented;YES;1;29;California
10/24/2016 7:04:42;210427;2;;12600;Married;TRUE;Homeowner free and clear;YES;3;78;Colorado
10/24/2016 7:05:33;211330;1;;12200;Divorced/Separated;TRUE;Homeowner free and clear;YES;1;78;Massachusetts
10/24/2016 7:05:46;211424;2;TRUE;110000;Divorced/Separated;TRUE;Rented;YES;1;50;New York
10/24/2016 7:05:55;213854;2;;4000;Never Married;TRUE;Rented;NO;;22;Vermont
10/24/2016 7:06:14;214083;2;;54540;Married;TRUE;Homeowner free and clear;YES;1;73;West Virginia
10/24/2016 7:06:39;215876;1;;53600;Widowed;TRUE;Rented;NO;;88;Texas
10/24/2016 7:08:08;217315;2;TRUE;110000;Married;TRUE;Homeowner with mortgage/loan;YES;4;47;Rhode Island
10/24/2016 7:08:24;218283;1;;20000;Married;TRUE;Homeowner with mortgage/loan;YES;2;37;New York
10/24/2016 7:09:03;220135;2;TRUE;75000;Divorced/Separated;TRUE;Rented;YES;2;64;California
10/24/2016 7:10:28;220142;1;;0;Never Married;TRUE;;NO;;18;Arkansas
10/24/2016 7:11:42;220205;2;TRUE;96000;Never Married;TRUE;Rented;YES;1;38;New Jersey
10/24/2016 7:12:15;223271;2;FALSE;54000;Married;TRUE;Rented;YES;3;37;California
10/24/2016 7:13:55;223773;1;;10200;Widowed;TRUE;Rented;YES;1;74;Michigan
10/24/2016 7:16:54;224356;2;TRUE;60000;Married;TRUE;Homeowner with mortgage/loan;YES;2;60;Virginia
10/24/2016 7:18:01;226840;2;TRUE;70050;Married;TRUE;Homeowner with mortgage/loan;YES;3;36;New Hampshire
10/24/2016 7:18:33;227318;2;;30000;Married;TRUE;Homeowner with mortgage/loan;YES;2;69;Connecticut
10/24/2016 7:18:57;228513;1;TRUE;412000;Widowed;TRUE;Homeowner free and clear;YES;3;47;Maine
10/24/2016 7:19:07;236067;2;TRUE;140000;Never Married;TRUE;Homeowner with mortgage/loan;YES;1;46;Colorado
10/24/2016 7:19:12;236880;1;TRUE;6000;Never Married;TRUE;Rented;YES;1;39;Michigan
10/24/2016 7:21:16;237048;2;FALSE;25000;Married;TRUE;Homeowner free and clear;YES;3;72;Tennessee
10/24/2016 7:22:19;249492;1;;10100;Widowed;TRUE;;NO;2;93;Georgia
10/24/2016 7:22:20;250108;1;TRUE;90000;Divorced/Separated;TRUE;Rented;YES;2;31;Illinois
10/24/2016 7:22:54;251365;1;TRUE;58000;Divorced/Separated;TRUE;Homeowner with mortgage/loan;YES;1;64;Hawaii
10/24/2016 7:24:36;252100;2;TRUE;273000;Never Married;TRUE;Homeowner with mortgage/loan;YES;2;52;Virginia
10/24/2016 7:25:13;253015;2;TRUE;30000;Married;TRUE;Homeowner with mortgage/loan;YES;3;35;California
10/24/2016 7:25:59;254969;1;TRUE;42200;Divorced/Separated;FALSE;Rented;YES;1;57;India
10/24/2016 7:26:06;258722;1;;2680;Married;TRUE;Homeowner with mortgage/loan;YES;2;45;Tennessee
10/24/2016 7:26:31;258948;1;;10820;Widowed;TRUE;Rented;YES;1;85;Kentucky
10/24/2016 7:26:39;259807;2;;440;Married;TRUE;;NO;;49;West Virginia
10/24/2016 7:26:40;262234;2;;16000;Married;TRUE;Homeowner free and clear;YES;3;65;Georgia
10/24/2016 7:26:46;264292;2;TRUE;90000;Married;TRUE;Homeowner with mortgage/loan;NO;;50;Illinois
10/24/2016 7:26:59;265299;2;;65500;Married;TRUE;Homeowner with mortgage/loan;YES;2;69;Virginia
10/24/2016 7:27:13;268667;2;;200;Never Married;TRUE;;NO;;31;Pennsylvania
